

### analyze	Num_calls 2	Total_time 00:00:00.500785	Total malloc-M 1
94	File:/home/cad/eda/SYNOPSYS/VC_SPYGLASS_2022/vc_static/T-2022.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl.tcl::87	Time:00:00:00.003846	 Malloc-MB:0
95	File:/home/cad/eda/SYNOPSYS/VC_SPYGLASS_2022/vc_static/T-2022.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl.tcl::98	Time:00:00:00.003845	 Malloc-MB:0
96	File:/home/cad/eda/SYNOPSYS/VC_SPYGLASS_2022/vc_static/T-2022.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl.tcl::96	Time:00:00:00.003814	 Malloc-MB:0
97	File:/home/cad/eda/SYNOPSYS/VC_SPYGLASS_2022/vc_static/T-2022.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl.tcl::91	Time:00:00:00.003810	 Malloc-MB:0
98	File:/home/cad/eda/SYNOPSYS/VC_SPYGLASS_2022/vc_static/T-2022.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl.tcl::100	Time:00:00:00.003781	 Malloc-MB:0
99	File:/home/cad/eda/SYNOPSYS/VC_SPYGLASS_2022/vc_static/T-2022.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl.tcl::101	Time:00:00:00.003779	 Malloc-MB:0
100	File:/home/cad/eda/SYNOPSYS/VC_SPYGLASS_2022/vc_static/T-2022.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl.tcl::89	Time:00:00:00.003697	 Malloc-MB:0

### define_violation	Num_calls 2	Total_time 00:00:01.395593	Total malloc-M -40
1	File:top.tcl::6	Time:00:00:00.740133	 Malloc-MB:0
2	File:top.tcl::6	Time:00:00:00.655460	 Malloc-MB:-40

### elaborate	Num_calls 1	Total_time 00:00:03.060251	Total malloc-M 36
1	File:top.tcl::16	Time:00:00:03.060251	 Malloc-MB:36

### get_message_db_ptr	Num_calls 1	Total_time 00:00:00.000008	Total malloc-M 0

### get_report_db_ptr	Num_calls 1	Total_time 00:00:00.000007	Total malloc-M 0

### infer_setup	Num_calls 2	Total_time 00:00:00.005197	Total malloc-M 0
1	File:top.tcl::19	Time:00:00:00.004627	 Malloc-MB:0

### invalidate_report_cache	Num_calls 7	Total_time 00:00:00.017394	Total malloc-M 6
1	File:top.tcl::6	Time:00:00:00.017255	 Malloc-MB:6

### rename_tag	Num_calls 59	Total_time 00:00:00.465345	Total malloc-M -1
1	File:top.tcl::6	Time:00:00:00.009248	 Malloc-MB:-1
2	File:top.tcl::6	Time:00:00:00.008147	 Malloc-MB:0
3	File:top.tcl::6	Time:00:00:00.008067	 Malloc-MB:0
4	File:top.tcl::6	Time:00:00:00.008049	 Malloc-MB:0
5	File:top.tcl::6	Time:00:00:00.008043	 Malloc-MB:0
6	File:top.tcl::6	Time:00:00:00.008027	 Malloc-MB:0
7	File:top.tcl::6	Time:00:00:00.008012	 Malloc-MB:0
8	File:top.tcl::6	Time:00:00:00.007998	 Malloc-MB:0
9	File:top.tcl::6	Time:00:00:00.007975	 Malloc-MB:0
10	File:top.tcl::6	Time:00:00:00.007967	 Malloc-MB:0
11	File:top.tcl::6	Time:00:00:00.007966	 Malloc-MB:0
12	File:top.tcl::6	Time:00:00:00.007956	 Malloc-MB:0
13	File:top.tcl::6	Time:00:00:00.007949	 Malloc-MB:0
14	File:top.tcl::6	Time:00:00:00.007948	 Malloc-MB:0
15	File:top.tcl::6	Time:00:00:00.007934	 Malloc-MB:0
16	File:top.tcl::6	Time:00:00:00.007928	 Malloc-MB:0
17	File:top.tcl::6	Time:00:00:00.007926	 Malloc-MB:0
18	File:top.tcl::6	Time:00:00:00.007904	 Malloc-MB:0
19	File:top.tcl::6	Time:00:00:00.007899	 Malloc-MB:0
20	File:top.tcl::6	Time:00:00:00.007896	 Malloc-MB:0
21	File:top.tcl::6	Time:00:00:00.007888	 Malloc-MB:0
22	File:top.tcl::6	Time:00:00:00.007878	 Malloc-MB:0
23	File:top.tcl::6	Time:00:00:00.007873	 Malloc-MB:0
24	File:top.tcl::6	Time:00:00:00.007868	 Malloc-MB:0
25	File:top.tcl::6	Time:00:00:00.007863	 Malloc-MB:0
26	File:top.tcl::6	Time:00:00:00.007860	 Malloc-MB:0
27	File:top.tcl::6	Time:00:00:00.007858	 Malloc-MB:0
28	File:top.tcl::6	Time:00:00:00.007856	 Malloc-MB:0
29	File:top.tcl::6	Time:00:00:00.007851	 Malloc-MB:0
30	File:top.tcl::6	Time:00:00:00.007846	 Malloc-MB:0
31	File:top.tcl::6	Time:00:00:00.007843	 Malloc-MB:0
32	File:top.tcl::6	Time:00:00:00.007837	 Malloc-MB:0
33	File:top.tcl::6	Time:00:00:00.007822	 Malloc-MB:0
34	File:top.tcl::6	Time:00:00:00.007819	 Malloc-MB:0
35	File:top.tcl::6	Time:00:00:00.007818	 Malloc-MB:0
36	File:top.tcl::6	Time:00:00:00.007816	 Malloc-MB:0
37	File:top.tcl::6	Time:00:00:00.007815	 Malloc-MB:0
38	File:top.tcl::6	Time:00:00:00.007811	 Malloc-MB:0
39	File:top.tcl::6	Time:00:00:00.007805	 Malloc-MB:0
40	File:top.tcl::6	Time:00:00:00.007797	 Malloc-MB:0
41	File:top.tcl::6	Time:00:00:00.007795	 Malloc-MB:0
42	File:top.tcl::6	Time:00:00:00.007779	 Malloc-MB:0
43	File:top.tcl::6	Time:00:00:00.007774	 Malloc-MB:0
44	File:top.tcl::6	Time:00:00:00.007766	 Malloc-MB:0
45	File:top.tcl::6	Time:00:00:00.007761	 Malloc-MB:0
46	File:top.tcl::6	Time:00:00:00.007755	 Malloc-MB:0
47	File:top.tcl::6	Time:00:00:00.007752	 Malloc-MB:0
48	File:top.tcl::6	Time:00:00:00.007751	 Malloc-MB:0
49	File:top.tcl::6	Time:00:00:00.007744	 Malloc-MB:0
50	File:top.tcl::6	Time:00:00:00.007724	 Malloc-MB:0
51	File:top.tcl::6	Time:00:00:00.007710	 Malloc-MB:0
52	File:top.tcl::6	Time:00:00:00.007696	 Malloc-MB:0
53	File:top.tcl::6	Time:00:00:00.007667	 Malloc-MB:0
54	File:top.tcl::6	Time:00:00:00.007661	 Malloc-MB:0

### report_lint	Num_calls 1	Total_time 00:00:00.864408	Total malloc-M 7
1	File:top.tcl::24	Time:00:00:00.864408	 Malloc-MB:7

### restore_session	Num_calls 1	Total_time 00:00:00.000059	Total malloc-M 0

### waive_violation	Num_calls 1	Total_time 00:00:01.019452	Total malloc-M 0
1	File:top.tcl::21	Time:00:00:01.019452	 Malloc-MB:0

 ****************************Shell commands Recording************************
eval {;}
