M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: |   after  ConstantPropagation : M=1467.18mb, Malloc-M=419mb, T=0s W=(2025-08-30 02:53:11)
STATS:: |   before populateInfoToView : M=1467.18mb, Malloc-M=419mb, T=0s W=(2025-08-30 02:53:11)
STATS:: |   after  populateInfoToView : M=1467.18mb, Malloc-M=419mb, T=0s W=(2025-08-30 02:53:11)
STATS:: after  Infer Setup : M=1467.18mb, Malloc-M=419mb, T=0s W=(2025-08-30 02:53:11)
STATS:: PERF: Clock Auto Inference : :  StartM=1467.18mb, EndM=1467.18mb, T=0s
STATS:: before Infer Setup : M=1467.18mb, Malloc-M=419mb, T=0s W=(2025-08-30 02:53:11)
STATS:: after  Infer Setup : M=1467.18mb, Malloc-M=419mb, T=0s W=(2025-08-30 02:53:11)
STATS:: PERF: Reset Auto Inference : :  StartM=1467.18mb, EndM=1467.18mb, T=0s
STATS:: before evaluateGenClocksForBlockedPaths: M=1467.18mb, Malloc-M=419mb, T=0s W=(2025-08-30 02:53:11)
STATS:: after  evaluateGenClocksForBlockedPaths: M=1467.18mb, Malloc-M=419mb, T=0s W=(2025-08-30 02:53:11)
STATS:: BuildClockTree :  StartM=1467.18mb, EndM=1467.18mb, T=0s
STATS:: BuildResetTree :  StartM=1467.18mb, EndM=1467.18mb, T=0s
STATS:: indexNldm :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: MultiDrivers :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: WordLoopDetection :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: UndrivenInTerm-ML :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: STARC05-2.4.1.5 :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: BufClock :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: InferLatch :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: checkPinConnectedToSupply :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: W392 :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: STARC05-1.3.1.3 :  StartM=1509.70mb, EndM=1509.70mb, T=0s
